time_ms,reading,bpm,leads_off
3802118,494,0,0
3802158,760,0,0
3802198,525,0,0
3802238,496,0,0
3802277,520,0,0
3802317,517,0,0
3802357,567,0,0
3802398,582,0,0
3802438,511,0,0
3802478,475,0,0
3802518,466,0,0
3802560,495,0,0
3802600,484,0,0
3802640,505,0,0
3802682,487,0,0
3802722,500,0,0
3802805,495,0,0
3802846,493,0,0
3802887,499,0,0
3802927,516,0,0
3802968,497,0,0
3803010,542,0,0
3803050,510,0,0
3803092,527,0,0
3803132,832,0,0
3803174,544,0,0
3803218,502,0,0
3803261,530,0,0
3803303,538,0,0
3803346,578,0,0
3803388,579,0,0
3803431,485,0,0
3803513,489,0,0
3803554,493,0,0
3803595,493,0,0
3803638,502,0,0
3803679,504,0,0
3803721,501,0,0
3803763,516,0,0
3803805,526,0,0
3803848,494,0,0
3803891,620,0,0
3803933,455,0,0
3803975,516,0,0
3804021,517,0,0
3804063,538,0,0
3804108,578,0,0
3804149,562,0,0
3804233,460,0,0
3804275,490,0,0
3804319,477,0,0
3804363,489,0,0
3804406,501,0,0
3804449,493,0,0
3804492,525,0,0
3804536,490,0,0
3804578,503,0,0
3804622,404,0,0
3804666,483,0,0
3804710,515,0,0
3804753,523,0,0
3804796,560,0,0
3804839,592,0,0
3804884,479,0,0
3804967,469,0,0
3805010,499,0,0
3805054,495,0,0
3805097,496,0,0
3805144,512,0,0
3805187,513,0,0
3805232,499,0,0
3805277,499,0,0
3805323,533,0,0
3805366,481,0,0
3805411,511,0,0
3805455,527,0,0
3805499,548,0,0
3805543,600,0,0
3805588,501,0,0
3805633,468,0,0
3805721,495,0,0
3805766,482,0,0
3805811,505,0,0
3805855,516,0,0
3805901,502,0,0
3805946,511,0,0
3805991,535,0,0
3806037,510,0,0
3806082,539,0,0
3806127,480,0,0
3806172,514,0,0
3806217,507,0,0
3806263,538,0,0
3806308,581,0,0
3806354,567,0,0
3806399,468,0,0
3806484,477,0,0
3806531,484,0,0
3806576,498,0,0
3806623,507,0,0
3806667,483,0,0
3806713,488,0,0
3806759,506,0,0
3806806,509,0,0
3806852,506,0,0
3806899,510,0,0
3806946,497,0,0
3806993,876,0,0
3807040,518,0,0
3807086,504,0,0
3807131,510,0,0
3807177,551,0,0
3807264,515,0,0
3807311,476,0,0
3807359,487,0,0
3807406,502,0,0
3807455,501,0,0
3807504,500,0,0
3807549,481,0,0
3807598,488,0,0
3807646,497,0,0
3807693,510,0,0
3807740,530,0,0
3807788,521,0,0
3807837,505,0,0
3807886,736,0,0
3807934,493,0,0
3807982,497,0,0
3808071,569,0,0
3808118,578,0,0
3808165,472,0,0
3808214,463,0,0
3808262,483,0,0
3808311,498,0,0
3808358,507,0,0
3808408,510,0,0
3808455,502,0,0
3808503,503,0,0
3808552,496,0,0
3808600,507,0,0
3808650,494,0,0
3808698,501,0,0
3808748,488,0,0
3808797,497,0,0
3808886,538,0,0
3808935,574,0,0
3808984,532,0,0
3809034,467,0,0
3809084,472,0,0
3809134,480,0,0
3809183,485,0,0
3809234,494,0,0
3809286,505,0,0
3809335,499,0,0
3809385,515,0,0
3809434,494,0,0
3809485,931,0,0
3809535,485,0,0
3809586,505,0,0
3809636,529,0,0
3809727,588,0,0
3809777,482,0,0
3809833,470,0,0
3809884,483,0,0
3809934,490,0,0
3809985,490,0,0
3810036,519,0,0
3810087,514,0,0
3810138,500,0,0
3810189,445,0,0
3810239,512,0,0
3810289,525,0,0
3810340,554,0,0
3810390,594,0,0
3810441,514,0,0
3810491,496,0,0
3810583,485,0,0
3810636,499,0,0
3810688,517,0,0
3810741,510,0,0
3810794,495,0,0
3810844,434,0,0
